[	4.2727272727272730e-01	2.1330747780692777e-01	-8.4850512762213639e-03	-1.3196433178286424e-01	]
[	4.3636363636363640e-01	2.1780995826084878e-01	-9.1064541625133447e-03	-1.4233004100015936e-01	]
[	4.4545454545454549e-01	2.2230655676900699e-01	-9.7746020785722670e-03	-1.5269575021745449e-01	]
[	4.5454545454545453e-01	2.2679615241847467e-01	-1.0489339719149251e-02	-1.6306145943474956e-01	]
[	4.6363636363636362e-01	2.3127680498689496e-01	-1.1250373154557632e-02	-1.7342716865204469e-01	]
[	4.7272727272727272e-01	2.3574915638371907e-01	-1.2057782157664740e-02	-1.8379287786933982e-01	]
[	4.8181818181818181e-01	2.4021320660894702e-01	-1.2911566728470578e-02	-1.9415858708663494e-01	]
[	4.9090909090909091e-01	2.4466895566257879e-01	-1.3811726866975146e-02	-2.0452429630393010e-01	]
[	5.0000000000000000e-01	2.4911640354461437e-01	-1.4758262573178443e-02	-2.1489000552122522e-01	]
[	5.0000000000000000e-01	2.4911640354461437e-01	-1.4758262573178443e-02	-2.1489000552122522e-01	]
[	5.0909090909090904e-01	2.5355218642356797e-01	-1.5750528762871342e-02	-2.2525571473849945e-01	]
[	5.1818181818181819e-01	2.5797705350225020e-01	-1.6788625723161792e-02	-2.3562142395577387e-01	]
[	5.2727272727272723e-01	2.6239075837258202e-01	-1.7872494947964650e-02	-2.4598713317304818e-01	]
[	5.3636363636363638e-01	2.6679330103456361e-01	-1.9002136437279944e-02	-2.5635284239032263e-01	]
[	5.4545454545454541e-01	2.7118468148819480e-01	-2.0177550191107643e-02	-2.6671855160759689e-01	]
[	5.5454545454545456e-01	2.7556380376925593e-01	-2.1398454379817120e-02	-2.7708426082487136e-01	]
[	5.6363636363636360e-01	2.7992877369645131e-01	-2.2664336231846650e-02	-2.8744997004214562e-01	]
[	5.7272727272727275e-01	2.8428021993472596e-01	-2.3975348035872687e-02	-2.9781567925942004e-01	]
[	5.8181818181818179e-01	2.8861814248407985e-01	-2.5331489791895197e-02	-3.0818138847669435e-01	]
[	5.9090909090909094e-01	2.9294254134451309e-01	-2.6732761499914215e-02	-3.1854709769396877e-01	]
[	5.9999999999999998e-01	2.9725341651602544e-01	-2.8179163159929702e-02	-3.2891280691124308e-01	]
[	5.9999999999999998e-01	2.9725341651602544e-01	-2.8179163159929705e-02	-3.2891280691124308e-01	]
[	6.0909090909090902e-01	3.0154749940542225e-01	-2.9669671153712336e-02	-3.3927851612854604e-01	]
[	6.1818181818181817e-01	3.0582552294024523e-01	-3.1204470358359285e-02	-3.4964422534584916e-01	]
[	6.2727272727272720e-01	3.1008724896906292e-01	-3.2783474612399742e-02	-3.6000993456315222e-01	]
[	6.3636363636363635e-01	3.1433267749187549e-01	-3.4406683915833756e-02	-3.7037564378045534e-01	]
[	6.4545454545454539e-01	3.1856180850868271e-01	-3.6074098268661287e-02	-3.8074135299775841e-01	]
[	6.5454545454545454e-01	3.2277358523739097e-01	-3.7785312977024983e-02	-3.9110706221506153e-01	]
[	6.6363636363636358e-01	3.2696618413772466e-01	-3.9539603086913587e-02	-4.0147277143236459e-01	]
[	6.7272727272727273e-01	3.3114021246557579e-01	-4.1337191425021430e-02	-4.1183848064966772e-01	]
[	6.8181818181818177e-01	3.3529567022094425e-01	-4.3178077991348464e-02	-4.2220418986697072e-01	]
[	6.9090909090909092e-01	3.3943255740383010e-01	-4.5062262785894737e-02	-4.3256989908427390e-01	]
[	6.9999999999999996e-01	3.4355087401423334e-01	-4.6989745808660201e-02	-4.4293560830157691e-01	]
[	6.9999999999999996e-01	3.4355087401423334e-01	-4.6989745808660201e-02	-4.4293560830157691e-01	]
[	7.0909090909090911e-01	3.4764748914682592e-01	-4.8959138201236263e-02	-4.5330131751887565e-01	]
[	7.1818181818181814e-01	3.5172310993529776e-01	-5.0970707029698845e-02	-4.6366702673617421e-01	]
[	7.2727272727272729e-01	3.5577750957776610e-01	-5.3024339596180893e-02	-4.7403273595347295e-01	]
[	7.3636363636363633e-01	3.5981068807423083e-01	-5.5120035900682346e-02	-4.8439844517077157e-01	]
[	7.4545454545454548e-01	3.6382264542469206e-01	-5.7257795943203266e-02	-4.9476415438807031e-01	]
[	7.5454545454545452e-01	3.6781237775373726e-01	-5.9437097421466939e-02	-5.0512986360536893e-01	]
[	7.6363636363636367e-01	3.7177815584464630e-01	-6.1657012614076988e-02	-5.1549557282266756e-01	]
[	7.7272727272727271e-01	3.7572055765775325e-01	-6.3917831991868623e-02	-5.2586128203996618e-01	]
[	7.8181818181818186e-01	3.7963958319305807e-01	-6.6219555554841894e-02	-5.3622699125726492e-01	]
[	7.9090909090909089e-01	3.8353523245056081e-01	-6.8562183302996738e-02	-5.4659270047456343e-01	]
[	8.0000000000000004e-01	3.8740750543026153e-01	-7.0945715236333223e-02	-5.5695840969186217e-01	]
[	8.0000000000000004e-01	3.8740750543026153e-01	-7.0945715236333223e-02	-5.5695840969186217e-01	]
[	8.0909090909090908e-01	3.9125344957615549e-01	-7.3368415293539158e-02	-5.6732411890916046e-01	]
[	8.1818181818181823e-01	3.9507373704443588e-01	-7.5830629261244897e-02	-5.7768982812645897e-01	]
[	8.2727272727272727e-01	3.9886815532827147e-01	-7.8332219368807576e-02	-5.8805553734375726e-01	]
[	8.3636363636363642e-01	4.0263670442766236e-01	-8.0873185616227236e-02	-5.9842124656105566e-01	]
[	8.4545454545454546e-01	4.0637938434260840e-01	-8.3453528003503835e-02	-6.0878695577835407e-01	]
[	8.5454545454545461e-01	4.1009525714182860e-01	-8.6072613403143539e-02	-6.1915266499565247e-01	]
[	8.6363636363636365e-01	4.1378271038970177e-01	-8.8729323374793195e-02	-6.2951837421295087e-01	]
[	8.7272727272727280e-01	4.1744228524496463e-01	-9.1424012261049681e-02	-6.3988408343024927e-01	]
[	8.8181818181818183e-01	4.2107398170761695e-01	-9.4156680061912912e-02	-6.5024979264754756e-01	]
[	8.9090909090909098e-01	4.2467779977765890e-01	-9.6927326777382986e-02	-6.6061550186484608e-01	]
[	9.0000000000000002e-01	4.2825373945509043e-01	-9.9735952407459805e-02	-6.7098121108214448e-01	]
[	9.0000000000000002e-01	4.2825373945509043e-01	-9.9735952407459805e-02	-6.7098121108214448e-01	]
[	9.0909090909090906e-01	4.3179906487842601e-01	-1.0258049623436268e-01	-6.8134692029944277e-01	]
[	9.1818181818181821e-01	4.3531440449699105e-01	-1.0546137827450461e-01	-6.9171262951674128e-01	]
[	9.2727272727272725e-01	4.3879956285885752e-01	-1.0837843747371086e-01	-7.0207833873403958e-01	]
[	9.3636363636363640e-01	4.4225453996402542e-01	-1.1133167383198148e-01	-7.1244404795133798e-01	]
[	9.4545454545454544e-01	4.4567933581249475e-01	-1.1432108734931640e-01	-7.2280975716863638e-01	]
[	9.5454545454545459e-01	4.4907309059814104e-01	-1.1734594229550692e-01	-7.3317546638593478e-01	]
[	9.6363636363636362e-01	4.5243432960733654e-01	-1.2040494403656166e-01	-7.4354117560323318e-01	]
[	9.7272727272727277e-01	4.5576355016912701e-01	-1.2349850618494942e-01	-7.5390688482053159e-01	]
[	9.8181818181818181e-01	4.5906075228351240e-01	-1.2662662874067016e-01	-7.6427259403782988e-01	]
[	9.9090909090909096e-01	4.6232593595049282e-01	-1.2978931170372390e-01	-7.7463830325512839e-01	]
